Chorągiew,Nazwa bazy/ośrodka,Województwo na terenie którego mieści się baza.,Adres bazy,Kontaktowy adres e-mail,Kontaktowy numer telefonu,Baza jest czynna:,"Formy, które można zorganizować na bazie:",Położenie bazy:,Charakterystyka terenu,Dostępne formy zakwaterowania na bazie:,Zaplecze sanitarne:,Usługi bazy:,Możliwości programowe bazy:,Inne,Czy prześlesz zdjęcia bazy e-mailem?,ostateczna_x,ostateczna_y
Śląska,Ośrodek Obozowo - biwakowy hufca ZHP Ruda Śląska w Kuźnicy,łódzkie," 98-331, Kuźnica, Nowa Brzeźnica, przy drodze numer 492",justyna.folkert@zhp.net.pl,575 11 02 02,w sezonie letnim,"wycieczki tematyczne, poligony;obóz/kolonia;biwak/rajd/weekendowe kursy;",w lesie;nad rzeką;,"Ośrodek położony jest w miejscowości Kuźnica Brzeźnicka, w północnej części byłego województwa częstochowskiego (obecnie na granicy woj. śląskiego i łódzkiego), na terenie tzw. Jury Krakowsko-Wieluńskiej nad rzeką Kocinką (dopływ Liswarty), w której istnieje możliwość kąpieli.
Zachodnią granicę Ośrodka stanowi duży kompleks leśny: teren suchy, piaszczysty z przewagą lasów sosnowych, dużą ilością jałowca w poszyciu i bogatym runem leśnym. Na miejscu znajdują się  4 pola namiotowe dla grup zorganizowanych (z oświetleniem oraz możliwościami podłączenia do sieci elektrycznej), a także 10 domków drewnianych.",domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;możliwość budowania pionierki;możliwość dostosowania menu;prąd dla obozów;,"zadaszony grill, rowery, teren z infrastrukturą do ASG, tor przeszkód;boisko;kąpielisko;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;","W odległości około 6 km znajduje się zalew z możliwością wypożyczenia łódek i rowerów wodnych.  Istnieje możliwość organizowania wycieczek do Częstochowy ze zwiedzaniem Jasnej Góry, nad rzekę Wartę do miejscowości Kule, nad rzekę Liswartę, do Parku Załęczańskiego, do łuszczarni szyszek i specjalistycznej szkółki leśnej w Nowym Folwarku, rowerowa do Kruszyny, trasa Miedźno - Mokra oraz wycieczki Szlakiem Orlich Gniazd.",tak,51.024487,19.107007
Gdańska,"Harcerskie Centrum Integracji Dzieci i Młodzieży Baza Kolonijno-Obozowa ""SKAUT"" w Orkuszu",pomorskie,"82-550 Prabuty, Orkusz (nie ma numeru), Leśnictwo Gonty",kwidzyn@zhp.pl,601911566,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad jeziorem;nad rzeką;,"Położona nad jeziorem Orkusz (powiat kwidzyński), 7 km od Prabut, wśród atrakcyjnych terenów leśnych. Do dyspozycji uczestników wypoczynku są domki kempingowe 2, 3, 4, 5, 6 osobowe z pościelą, ogólnodostępne sanitariaty i natryski, duża stołówka, 2 duże świetlice, kąpielisko strzeżone z pomostem i plażą, boiska sportowe, amfiteatr, strzelnica, sala sportowa, sprzęt sportowy, sprzęt multimedialny. 
",budynek;domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,"rzutnik multimedialny, ekran do projektora, głośniki, przenośny głośnik;opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;internet dostępny dla kadry;drukarka dostępna dla kadry;komputer dostępny dla kadry;sklepik;prąd dla obozów;",rowery wodne. gry planszowe małe i XXL;boisko;kąpielisko;kajaki;żaglówki;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,"Centrum dysponuje bazą noclegową dla ponad 120 osób w domkach oraz 120 osób w namiotach.  W okolicy bazy  funkcjonuje ścieżka przyrodniczo-krajoznawcza,  jest niezwykle urozmaicona, prowadzi przez lasy i nad malowniczym jeziorem Orkusz. Oferujemy pomoc przy organizacji wycieczek, transportu.",tak,53.797602,19.125431
Gdańska,Harcerska Baza Obozowa Hufca ZHP Kwidzyn w Siemianach ,warmińsko-mazurskie,"14-216 Siemiany, Siemiany 24, Leśnictwo Jeziorno",kwidzyn@zhp.pl,601911566,w sezonie letnim,obóz/kolonia;,w lesie;nad jeziorem;,Położona nad Jeziorakiem na pojezierzu Iławskim w lesie sosnowym.  Baza przewiduje miejsca dla małych obozów jak i dla dużych. Każdy obóz ma własny teren obozowania. Możliwość palenia ognisk na podobozach. ,namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety przenośne (np. toi-toi);toalety murowane;krany;prysznice;ciepła woda;,"Rzutnik multimedialny, ekran do projektora, głośniki;opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;internet dostępny dla kadry;drukarka dostępna dla kadry;komputer dostępny dla kadry;sklepik;prąd dla obozów;",gry planszowe małe i XXL;boisko;kąpielisko;kajaki;żaglówki;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;,"Oferujemy pomoc przy organizacji transportu, wycieczek krajoznawczych, wędrówek, biwaków, paintballa, jazdy konnej, korzystania ze sprzętu żeglarskiego i wodnego. W okolicach bazy funkcjonują ścieżki przyrodnicze parku krajobrazowego pojezierza Iławskiego.",tak,53.721431,19.596207
Śląska,Ośrodek Harcerski w Zarzeczu,śląskie,"Zarzecze 
ul. Harcerska 1
34-326
",bogusz.domagala@zhp.net.pl,505080665,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad jeziorem;w górach;,"Ośrodek „Zarzecze” jest obozową bazą Hufca ZHP Katowice, położoną nad jeziorem żywieckim.
Baza dysponuje własną przystanią, wyposażoną w sprzęt wodny, w tym rowerki, kajaki, żaglówki.
Do dyspozycji uczestników obozów jest także niecka basenowa. Nad bezpieczeństwem pływających czuwają ratownicy wodni.
Na terenie ośrodka znajdują się trzy oddzielne place obozowe.Na pierwszym placu znajduje się 9 domków typu Namysłów (zakwaterowanie po 6 osób, na łóżkach piętrowych), dwa domki kadrowe (zakwaterowanie w dwóch pokojach po 2 osoby), a także świetlica i kuchnia na wyłączność z wyposażeniem.Obok placu zlokalizowany jest również krąg ogniskowy.
Drugi plac składa się z 2 domków typu Namysłów, świetlicy oraz maksymalnie 15 namiotów typu NS-64. Namioty wyposażone są w łóżka polowe z lateksami i kocami oraz podłogi drewniane.
Trzeci plac składa się 12 namiotów typu „Dziesiątka” z łóżkami polowymi i szafkami. Namioty te są nowe (nie starsze niż 5 lat) i regularnie konserwowane.

Baza wyposażona jest w węzły higieniczno-sanitarne z dostępem do ciepłej wody. Każdego roku, na czas Akcji Letniej, wynajmowane są kontenery sanitarne (https://wcserwis.pl/) dla określonej liczby osób. Na terenie ośrodka znajduje się także 8 latryn drewnianych i 4 prysznice stałe.
Na bazie wyznaczone są 3 kręgi ogniskowe, z czego jeden może pomieścić nawet 60 osób, natomiast drugi zlokalizowany jest nad wodą.
Podczas organizowanego na bazie wypoczynku istnieje możliwość wypożyczenia sprzętu sportowego (w tym skakanek, paletek do badmintona, piłek itp.), a także zagospodarowania jednego z obiektów na salę multimedialną, wyposażoną w rzutnik.
Posiłki spożywane są w budynku jadalni, a jedzenie przygotowywane jest w betonowej kuchni. Na bazie wdrożone są procedury HACCP.
W bezpośrednim sąsiedztwie Ośrodka znajduje się przystanek autobusowy. W niedalekiej odległości od bazy (około 30 minut pieszo) znajduje się także stacja kolejowa.
",domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety w kontenerze sanitarnym;toalety przenośne (np. toi-toi);krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;prąd dla obozów;,kąpielisko;kajaki;żaglówki;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,"Jeśli chodzi o namioty – preferujemy używanie naszych namiotów, ale opcja przywiezienia własnych może być negocjowana.
Pionierka ogranicza się do pionierki zastępów oraz ogólnoobozowej (występującej poza namiotami) zależnie od ustawienie danego obozu,
",tak,49.7289559,19.1846359
Śląska,Ośrodek Harcerski w Jaworzu Nałężu,śląskie,"Jaworze - Nałęże 
ul. Grabka 1
43-384 Jaworze
",bogusz.domagala@zhp.net.pl,505080665,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;w górach;,"Ośrodek obozowy w Jaworzu-Nałężu (niedaleko Bielska-Białej), położony jest w pięknej dolinie Jesionki. Dookoła roztacza się Beskid Śląski z wieloma szlakami turystycznymi.
Ośrodek składa się z nowo wyremontowanego pawilonu zuchowego (2 części mieszczące łącznie 50 osób) z węzłem sanitarnym i świetlicą oraz 2 polan obozowych. 
Stołówka mieści się w budynku murowanym (również po remoncie). Osobny węzeł sanitarny jest dla obozów mieszkających w namiotach. Ciepła woda dostępna jest całą dobę.
Osrodek może przyjąć maksymalnie 110 osób.
Mogą być to 2 mniejsze obozy pod namiotami, jeden duży pod namiotami, lub obóz pod namiotami + kolonia w pawilonie.
W ośrodku podczas HAL zawsze obecna jest pielęgniarka lub lekarz, a wszyscy uczestnicy obozów bardzo chwalą sobie pyszne, domowe jedzenie.
W sąsiedztwie ośrodka (5 min.) mieści się mały Kościółek – msze w każdą niedzielę o godzinie 9:00.
Do najbliższego sklepu jest 5km. Niedaleko znajduje się przystanek PKS, którym można dojechać m.in. do Bielska Białej. Z bazy można 3 szlakami turystycznymi (czerwony, harcerski, szklany) wybrać się na wędrówkę na Błatnią (917m. n.p.m.) gdzie mieści się schronisko PTTK, a ze szczytu roztaczają się piękne widoki.
Dla uczestników obozów dostępny jest sprzęt sportowy , oraz dmuchane baseniki.
",budynek;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety przenośne (np. toi-toi);toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;możliwość budowania pionierki;prąd dla obozów;,krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,,tak,49.765057,18.910882
Gdańska,BP Hostel Gdynia - Stanica Harcerska,pomorskie,81-431 Gdynia ul. Bolesława Prusa 9-11,stanica@zhp.gdynia.pl,58 622 04 24 ,cały rok,"spotkania, wykłady, szkolenia, konferencje, kominek, ognisko, gry terenowe;obóz/kolonia;biwak/rajd/weekendowe kursy;","W centrum miasta, w otoczeniu zieleni i nad samym morzem.;nad morzem;","Stanica Harcerska Hufca ZHP Gdynia znajduje się kilometr od centrum miasta, tuż obok piaszczystej plaży, kortów tenisowych, w urokliwym zakątku miasta, na niewielkim wzniesieniu wśród drzew. Latem nasz budynek „tonie” w zieleni. Nasz hostel bierze nazwę od nazwiska patrona Stanicy Harcerskiej – gen. Roberta Baden – Powella, założyciela skautingu, który jedyny raz w historii (w sierpniu 1933 roku) odwiedził Polskę. Podczas tej wizyty odwiedził tylko jedno miejsce - Polankę Redłowską w Gdyni, znajdującą się około 800 metrów od naszego budynku. Dla upamiętnienia tej historycznej wizyty nazwaliśmy Stanicę Harcerską jego imieniem. W odległości kilku  minut spacerem możecie dojść do atrakcji turystycznych naszego miasta m.in. na Bulwar Nadmorski, Muzeum Miasta Gdynia, na Kamienną Górę z górską kolejką torową, Skwer Kościuszki, Oceanarium, Okręt Muzeum ORP Błyskawica, Żaglowiec Muzeum Dar Pomorza. W Gdyni można także wspaniale spędzić czas w Centrum Nauki Eksperyment, w Parku Trampolin JUMPCITY, w Muzeum Motoryzacji, na molo w Orłowie, w teatrze Muzycznym i Teatrze Miejskim. Dzięki naszej lokalizacji jesteśmy także idealną bazą wypadową do zwiedzania regionalnych atrakcji m.in. Monte Cassino i molo w Sopocie; Parku Oliwskiego, Westerplatte, Starego Miasta w Gdańsku; Półwyspu Helskiego, wydm w Łebie, pięknej przyrody i atrakcji turystycznych Kaszub oraz wielu innych miejsc. Oferujemy 50 miejsc noclegowych w 9 pokojach. Na parterze mamy 4 pokoje wieloosobowe z łóżkami piętrowymi oraz przestronną salę konferencyjną przystosowaną do szkoleń/warsztatów/prezentacji (wyposażoną w sprzęt multimedialny), przystosowaną także do spożywania posiłków. Na drugim piętrze mamy 5 pokoi 2-3 osobowych z łóżkami pojedynczymi. Na każdym piętrze znajdują się toalety z umywalką. Na poziomie -1 mamy bogato wyposażoną, samoobsługową kuchnię, pomieszczenie z prysznicami i umywalkami. Na całym terenie hostelu bezpłatnie udostępniamy Internet WiFi.",Polana na kilka małych namiotów do uzgodnienia.;budynek;namioty (można rozbić własne namioty);,Zaplecze sanitarne wyłącznie w budynku Stanicy.;toalety murowane;krany;prysznice;ciepła woda;,Wszystkie usługi mogą być dostępne po wcześniejszych ustaleniach.;internet dostępny dla kadry;drukarka dostępna dla kadry;komputer dostępny dla kadry;prąd dla obozów;,"Teren bazy zadrzewiony, obszerny z dużym potencjałem. W pobliżu atrakcyjne tereny idealne do gier terenowych, miejskich, o różnej tematyce. ;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;",Jesteśmy w samym centrum miasta! Przy plaży. Posiadamy parking dla autokaru. Na terenie Stanicy udostępniamy Internet i TV. Prosta i szybka komunikacja miejska w twoim zasięgu! Lubimy zwierzęta. W pełni wyposażona kuchnia pozwala przygotować niewielkie posiłki. A wieczorem ogrzej się przy blasku ogniska!,tak,54.5055742,18.5542952
Mazowiecka,Harcerska Baza Obozowa w Rajcu Poduchownym,mazowieckie,"26-613, Rajec Poduchowny, brak ulicy i numeru,leśnictwo Rajec",radommmiasto@zhp.pl,608574920,cały rok,obóz/kolonia;biwak/rajd/weekendowe kursy;,w pobliżu miasta;w lesie;,"Baza jest położona w otulinie Puszczy Kozienickiej, ale jednocześnie w bliskim sąsiedztwie dużego miasta.

Dojazd do Rajca z niemal każdego miejsca w Polsce jest prosty. Radom leży na skrzyżowaniu szlaków komunikacyjnych drogowych i kolejowych łączących wschód z zachodem i północ z południem Polski. Przejazd z Radomia do bazy autobusem podmiejskim trwa kilkanaście minut.

Teren bazy jest ogrodzony.",budynek;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;możliwość budowania pionierki;możliwość dostosowania menu;sklepik;prąd dla obozów;,boisko;sprzęt sportowy;krąg ogniskowy;świetlica w budynku;,Strona internetowa bazy: www.radom.zhp.pl/bazy,tak,51.435363,21.236439
Mazowiecka,Harcerska Baza Obozowa w Łazach,zachodniopomorskie,"76-002, Łazy, Wierzbowa",radommiasto@zhp.pl,608574920,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad jeziorem;nad morzem;,"Baza jest położona na Mierzei Jamneńskiej - pomiędzy jeziorem Jamno, a morzem. Plaża jest oddalona o 200 m od bazy.

Teren bazy jest ogrodzony.",przyczepy kempingowe;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość dostosowania menu;drukarka dostępna dla kadry;prąd dla obozów;,boisko;kąpielisko;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;,"Strona internetowa bazy: www.radom.zhp.pl/lazy

Strona jest chwilowo nieaktywna, ale powróci w tym roku.",tak,54.24944,16.01059
Mazowiecka,Stanica Harcerska Hufca ZHP Ostrołęka,warmińsko-mazurskie,"Kierwik, 12-150 Spychowo,
Nadleśnictwo Spychowo",ostroleka@zhp.pl,510307650,w sezonie letnim,zielona szkoła;obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad jeziorem;,"Stary las sosnowy.
Miejsce obozowe na 120 osób (namioty) i 2 domki po 7 miejsc.
 Jeden obóz lub 2 podobozy.",namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,"drewniany budynek sanitarny 8 toalet i 4 prysznice, do mycia rynna harcerska;krany;prysznice;ciepła woda;",ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;drukarka dostępna dla kadry;komputer dostępny dla kadry;prąd dla obozów;,dodatkowy namiot wojskowy 6x8m;kąpielisko;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;,"Baza położona w strefie ciszy z widokiem na jezioro Kierwik, ogrodzona i oświetlona. 
Posiłki przygotowywane na miejscu. ",tak,53.599776,21.344772
Krakowska,Harcerska baza obozowa Wicie ,zachodniopomorskie,"76-150 Darłowo  Wicie ul. Wczasowa 4 
Leśnictwo Sławno",trzebinia@zhp.pl,502410594,w sezonie letnim,obóz/kolonia;,nad morzem;,Miejsca są przewidziane na 3 podobozy,namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;,krąg ogniskowy;,,nie,54.504314,16.466014
Łódzka,Baza zuchowa Hufca Łódź-Bałuty w Świętouściu,zachodniopomorskie,"72-514 Kołczewo, Baza zuchowa Hufca Łódź-Bałuty w Świętouściu, leśnictwo Kołczewo",lodzbaluty@zhp.pl,501899344,w sezonie letnim,obóz/kolonia;,nad jeziorem;nad morzem;,"Baza położona na polanie w lesie w otulinie Wolińskiego Parku Narodowego. Teren piaszczysty, wydmowy, porośnięty trawą oraz kępami drzew i krzewów. Ośrodek jest ogrodzony i oświetlony. Domki kolonijne ustawione są w dwóch kręgach – większym na 96 osób (może stanowić bazę dla kilku mniejszych kolonii) i mniejszym na 54 osoby. Na obozy pod namiotami przewidziane są dwa place, które mogą pomieścić większy (ok. 100 osobowy) obóz lub 2-3 mniejsze. Baza otoczona jest lasami sosnowymi o pagórkowatym ukształtowaniu terenu, od strony południowej znajduje się duże jezioro Koprowo, a od strony północnej sąsiaduje z inną bazą harcerską. W okolicy szkółki leśne oraz rezerwat storczyków. Odległość od brzegu morza ok. 800 m.",domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,umywalnie z kranami i prysznicami;toalety murowane;prysznice;ciepła woda;,"własna kuchnia, zastawa stołowa, zmywalnia naczyń;opieka medyczna;ratownik wodny;możliwość budowania pionierki;prąd dla obozów;","duża stołówka, w której można organizować imprezy;boisko;kąpielisko;kajaki;żaglówki;krąg ogniskowy;zadaszona świetlica;","Baza znajduje się w niezamieszkałej okolicy w sąsiedztwie innej bazy harcerskiej oraz campingu. Do najbliższych miejscowości jest ok. 4 km. Plaże na Wyspie Wolin są piaszczyste, szerokie, mało uczęszczane przez turystów. We własnym zakresie organizujemy miejsce do kąpieli w morzu zapewniając obsługę ratowników WOPR. Na terenie ośrodka znajduje się duża stołówka z pełnym zapleczem kuchennym (również zmywalnia naczyń), która może służyć jako schronienie i miejsce programowe podczas gorszej pogody. Drewniane domki bez wygód zapewniają nocleg w pokojach 6 osobowych, a w każdym znajduje się 2-osobowy pokoik dla kadry. Dysponujemy sprzętem obozowym tj. namiotami typu NS oraz 10-tka, kanadyjkami, materacami, półkami, kocami, pościelą (dla dzieci w domkach). Baza ma bezpośredni dostęp do Jeziora Koprowo. Jezioro nie nadaje się do kąpieli (bagniste brzegi, zamulone dno), jednak własny pomost i sprzęt pływający umożliwia uprawianie sportów wodnych. Dysponujemy łodziami typu kanoo dla 28 osób oraz żaglówkami (DZ-ta, fayer) – można żeglować po dużym jeziorze lub wybrać się na spływ na Zalew Kamieński. Okolica obfituje w atrakcje turystyczne, znajduje się tu m.in. wioska Słowian i wikingów w Wolinie, Międzyzdroje z aleją gwiazd i molo, pokazowa zagroda żubrów w WPN, Fort Gerharda i podziemne miasto koło Świnoujścia czy statki turystyczne i park linowy w Dziwnowie.",tak,53.991824,14.647233
Podkarpacka,Stanica Harcerska Olchowiec,podkarpackie,"38-709 Olchowiec, Olchowiec, gm. Czarna, powiat bieszczadzki",tarnobrzeg@zhp.pl,504034320,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad jeziorem;w górach;,"Baza Hufca ZHP Tarnobrzeg -  położona w pobliżu Jeziora Solińskiego posiadająca 3 pola namiotowe, które pozwalają na organizację kilku podobozów. Wyznaczone miejsce na ognisko - drewno bez opłat. Z możliwością dojazdu autokaru do samej stanicy. Stanica częściowo zadrzewiona. Namioty nie są rozstawiane między drzewami.",namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety umieszczone na stałe pod zadaszeniem razem z prysznicami i umywalkami (własna ekologiczna oczyszczalnia scieków);krany;prysznice;,możliwość budowania pionierki;prąd dla obozów;,"pełnowymiarowa boisko do piłki nożnej, boisko do piłki siatkowej;boisko;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;",Baza w odległości 15 minutowego spaceru od Jeziora Solińskiego (gdzie znajduje się przystań i wypożyczalnia sprzętu wodnego). Pomagamy w pozyskaniu drewna na pionierkę z miejscowego Nadleśnictwa. W,tak,49.308808,22.512867
Łódzka,Baza harcerska Hufca Łódź-Bałuty w Przewozie,pomorskie,"77-143 Przewóz, Baza Harcerska Hufca Łódź-Bałuty ""Promienistych"" w Przewozie, leśnictwo Lubaszki",lodzbaluty@zhp.pl,501899344,w sezonie letnim,obóz/kolonia;,w lesie;nad jeziorem;,"Teren jest w zasadzie nie zagospodarowany, gdyż nie jest to stała baza hufca, tylko miejsce, do którego jeździmy od kilkudziesięciu lat. Zwykle organizujemy tutaj zgrupowania obozów harcerskich. Każdy z podobozów rozbity jest w pewnej odległości od części gospodarczej, co powoduje, że uczestnicy czują się bardziej samodzielni. Namioty rozstawione są w środku sosnowego lasu, nad brzegiem jeziora. Ponieważ okolica jest słabo zaludniona, woda w jeziorze jest bardzo czysta.",namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,latryny i umywalnie własnej roboty;toalety przenośne (np. toi-toi);krany;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;,kąpielisko;,"Krystaliczne jezioro, kaszubski las, spartańskie warunki i harcerska przygoda - tak opisują Bazę w Przewozie nasi harcerze. Uczestnicy obozów mieszkają w harcerskich namiotach typu „dycha”. Śpią zazwyczaj na kanadyjkach (chyba, że zastęp, w ramach pionierki, wybuduje sobie prycze), mają do swojej dyspozycji półki na plecaki i przedmioty codziennego użytku. Ponadto harcerze budują sobie inne przydatne sprzęty, ogradzają obozy i stawiają bramy. Początkującym obozowiczom pewne trudności mogą sprawić typowo biwakowe warunki sanitarne. Codzienne mycie odbywa się w namiotach sanitarnych, a wody dostarcza studnia oraz jezioro. Jako WC służą typowe obozowe latryny oraz eko-kabiny. Całe zgrupowanie korzysta z jednej kuchni polowej. Poza nią, w części gospodarczej, znajdują się magazyny żywności, sprzętu, polowa stołówka, namioty dla kadry obsługującej zgrupowanie oraz namiot lekarski. W kuchni pomagają także zastępy służbowe harcerzy. Nad jeziorem wyznaczamy miejsce do kąpieli, nad którym czuwa nasz ratownik. Hufiec Łódź-Bałuty posiada sprzęt obozowy przechowywany w pobliskich magazynach umożliwiający rozbicie obozu dla ok. 150 osób. Baza jest uruchamiana średnio co 2-3 lata. ",tak,54.076486,17.558165
Dolnośląska,HARCERSKA BAZA OBOZOWA HUFCA ŁAGIEWNIKI W POBIEROWIE,zachodniopomorskie,72-346 POBIEROWO UL. POLNA LEŚNICTWO POBIEROWO,lagiewniki@zhp.pl,501663444,w sezonie letnim,obóz/kolonia;,nad morzem;,"Stanica położona w lesie,  zajmuje dość duży obszar. Do morza 7 minut spacerkiem.
Zakwaterowanie:
 -     gwarantujemy wysoki standard obozowania
 -     własne miejsce obozowe
-	namioty „10” wysokie  - około 99% nowych namiotów
-	łóżko kanadyjka, materac 
-	dwa koce, dwa regały 
-	świetlica - energia 220V, stół i ławy
-	teren oświetlony
 
Zaplecze sanitarne:  
-	kabiny WC Eco BOX podłączone do kolektora ściekowego (zatrudniona sprzątaczka)               
-	natryski z ciepłą wodą bieżącą, umywalnie.
 
Wyżywienie:
-	cztery posiłki dziennie - śniadanie, obiad, podwieczorek, kolacja – własne menażki
-	posiłki urozmaicone, nikt nie może być głodny 



",namioty (baza udostępnia własne namioty);,toalety w kontenerze podłączone ko kanalizacji;krany;prysznice;ciepła woda;,opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;możliwość dostosowania menu;prąd dla obozów;,boisko;krąg ogniskowy;zadaszona świetlica;,"https://www.facebook.com/BazaObozowaHufcaLagiewnikiWPobierowie/
",tak,54.0615541,14.9484229
Kujawsko-Pomorska,Harcerska Baza Obozowa Gaj,warmińsko-mazurskie,"13-334 Gaj, leśnictwo Lipowa Góra, Nadleśnictwo Jamy",nowemiastolub@zhp.pl; dorota.nowinska@zhp.net.pl;  zbigniew.kremski@zhp.net.pl,1)  781 936 720     2)  604 055 806,w sezonie letnim,obóz/kolonia;biwak/rajd/weekendowe kursy;,w lesie;nad jeziorem;,"HBO Gaj położony jest wśród drzew nad jeziorem Dębno, które połączone jest z dwoma kolejnymi jeziorami Kakaj i Wielki Staw. Sama baza położona jest na płaskim terenie ale wokół teren jest bardzo urozmaicony, pagórkowaty, zalesiony różnorodnym drzewostanem z bogatą szatą roślinną. Na terenie znajdują się dwa klasyczne pomosty zamykające przestrzeń małej plaży i zbudowana nad lustrem wody platforma zabezpieczona barierkami nadająca się doskonale na zajęcia pod chmurką. Jest też wiata z murowanym kominkiem, komorą do wędzenia i grillowania oraz przeprowadzenia zajęć z pieczeniem chleba. Teren od strony lądu jest ogrodzony siatką, z zamykaną bramą wjazdową i wartownią. Kilkadziesiąt metrów za kanałem łączącym jeziora urokliwa i mała wioska Gaj. Do dworca w Bielicach linii kolejowej Olsztyn-Toruń 3 km.",domki;namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,opieka medyczna i ratownik wodny na podstawie uzgodnień z wynajmującymi;opieka medyczna;ratownik wodny;możliwość budowania pionierki;możliwość pełnienia służby pomocniczej w kuchni;,boisko do piłki nożnej poza terenem bazy;kąpielisko;kajaki;sprzęt sportowy;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;,"1. Zakwaterowanie w domkach letniskowych: 45 miejsc dla zuchów (lub dzieci do lat 10) + 10 miejsc dla kadry. Pokoje w układzie 2x10 osób i 5 x 5 osób.
2. w naszych namiotach możemy zakwaterować ponad 70 osób. Łącznie z bazy jednorazowo może skorzystać ok.180 osób",nie,53.463587,19.383537
Wielkopolska,"Stanica Harcerska ""Zielona Polana"" Hufiec ZHP Ostrów Wlkp",wielkopolskie,"63-400 Ostrów Wielkopolski ul. Siwego Sokoła 1 leśnictwo Taczanów
",ostrow@zhp.wlkp.pl,48513770782,w sezonie letnim,"imprezy rodzinne, plenerowe, urodzinowe,  śluby;obóz/kolonia;biwak/rajd/weekendowe kursy;",w lesie;nad jeziorem;,"Stanica jest na terenie płaskim otoczona lasem mieszanym z przewagą lasu liściastego, znajduje się nad dwoma zbiornikami wodnymi: kąpieliskiem strzeżonym oraz stawem rybnym. Baza jest oddalona od centrum miasta – Ostrowa Wielkopolskiego ok 2 km. Jest możliwość zorganizowanie kilku podobozów.
",namioty (baza udostępnia własne namioty);namioty (można rozbić własne namioty);,toalety murowane;krany;prysznice;ciepła woda;,możliwość budowania pionierki;internet dostępny dla kadry;prąd dla obozów;,"kąpielisko strzeżone, par linowy,;boisko;kąpielisko;krąg ogniskowy;zadaszona świetlica;świetlica w budynku;",Baza czynna od wiosny do jesieni.  Forma wyżywienia - catering.,tak,51.673589,17.811228
